"terms";"count";"prob"
"one of the";340;0.00187978238754478
"i do not";324;0.00179132203989562
"a lot of";268;0.00148171082312353
"i am not";162;0.000895661019947808
"i ca not";149;0.000823786987482861
"i have been";147;0.000812729444026715
"i did not";140;0.000774028041930205
"as well as";135;0.00074638418328984
"it was a";133;0.000735326639833695
"going to be";132;0.000729797868105622
"be able to";126;0.000696625237737184
"some of the";124;0.000685567694281039
"to be a";124;0.000685567694281039
"out of the";122;0.000674510150824893
"part of the";122;0.000674510150824893
"do not know";119;0.000657923835640674
"the end of";119;0.000657923835640674
"if you are";114;0.00063027997700031
"thanks for the";112;0.000619222433544164
"i want to";100;0.000552877172807289
"and i am";99;0.000547348401079216
"the rest of";99;0.000547348401079216
"a couple of";97;0.00053629085762307
"the first time";96;0.000530762085894998
"i am going";92;0.000508646998982706
"ca not wait";91;0.000503118227254633
"this is a";91;0.000503118227254633
"do not have";88;0.000486531912070414
"i will be";87;0.000481003140342342
"you do not";87;0.000481003140342342
"the fact that";85;0.000469945596886196
"i have a";83;0.00045888805343005
"is going to";83;0.00045888805343005
"not want to";83;0.00045888805343005
"would like to";83;0.00045888805343005
"end of the";82;0.000453359281701977
"you want to";82;0.000453359281701977
"according to the";80;0.000442301738245831
"are going to";80;0.000442301738245831
"it is a";80;0.000442301738245831
"am going to";79;0.000436772966517758
"you have to";79;0.000436772966517758
"for the first";78;0.000431244194789686
"in the first";78;0.000431244194789686
"i have to";77;0.000425715423061613
"i think i";77;0.000425715423061613
"one of my";77;0.000425715423061613
"this is the";76;0.00042018665133354
"in front of";75;0.000414657879605467
"most of the";74;0.000409129107877394
"it would be";73;0.000403600336149321
"in order to";71;0.000392542792693175
"to have a";71;0.000392542792693175
"is one of";70;0.000387014020965102
"the united states";70;0.000387014020965102
"do not want";69;0.000381485249237029
"looking forward to";69;0.000381485249237029
"there is a";69;0.000381485249237029
"i am a";68;0.000375956477508957
"to make a";68;0.000375956477508957
"rest of the";67;0.000370427705780884
"do not think";66;0.000364898934052811
"is not a";66;0.000364898934052811
"to go to";66;0.000364898934052811
"it does not";65;0.000359370162324738
"all of the";64;0.000353841390596665
"i need to";64;0.000353841390596665
"of the world";64;0.000353841390596665
"that i am";64;0.000353841390596665
"there is no";64;0.000353841390596665
"at the end";63;0.000348312618868592
"in the world";63;0.000348312618868592
"thank you for";63;0.000348312618868592
"i had to";62;0.000342783847140519
"it is not";62;0.000342783847140519
"there was a";61;0.000337255075412446
"we do not";61;0.000337255075412446
"to be the";60;0.000331726303684373
"to get a";60;0.000331726303684373
"but i am";59;0.000326197531956301
"i am so";59;0.000326197531956301
"a bit of";58;0.000320668760228228
"he did not";58;0.000320668760228228
"more than a";58;0.000320668760228228
"not going to";58;0.000320668760228228
"if you have";57;0.000315139988500155
"that i have";57;0.000315139988500155
"back to the";56;0.000309611216772082
"of the most";56;0.000309611216772082
"of the year";56;0.000309611216772082
"would have been";56;0.000309611216772082
"you ca not";56;0.000309611216772082
"i had a";55;0.000304082445044009
"the number of";55;0.000304082445044009
"will not be";55;0.000304082445044009
"would be a";54;0.000298553673315936
"a little bit";53;0.000293024901587863
"at the time";53;0.000293024901587863
"to make the";53;0.000293024901587863
"you need to";53;0.000293024901587863
"and i have";52;0.00028749612985979
"as much as";52;0.00028749612985979
"i wanted to";52;0.00028749612985979
"they do not";52;0.00028749612985979
"because of the";51;0.000281967358131717
"i have not";51;0.000281967358131717
"go to the";50;0.000276438586403645
"to make sure";50;0.000276438586403645
"a chance to";48;0.000265381042947499
"and it was";48;0.000265381042947499
"i think it";48;0.000265381042947499
"in the s";48;0.000265381042947499
"it will be";48;0.000265381042947499
"not wait to";48;0.000265381042947499
"one of those";48;0.000265381042947499
"to see the";48;0.000265381042947499
"want to be";48;0.000265381042947499
"will be a";48;0.000265381042947499
"but it was";47;0.000259852271219426
"i am in";47;0.000259852271219426
"if you want";47;0.000259852271219426
"in the same";47;0.000259852271219426
"it was not";47;0.000259852271219426
"it was the";47;0.000259852271219426
"to do with";47;0.000259852271219426
"to make it";47;0.000259852271219426
"and in the";46;0.000254323499491353
"i am sure";46;0.000254323499491353
"not have to";46;0.000254323499491353
"we have been";46;0.000254323499491353
"when i was";46;0.000254323499491353
"i know i";45;0.00024879472776328
"i would like";45;0.00024879472776328
"of the day";45;0.00024879472776328
"was going to";45;0.00024879472776328
"in the middle";44;0.000243265956035207
"to get the";44;0.000243265956035207
"you have a";44;0.000243265956035207
"a number of";43;0.000237737184307134
"all the time";43;0.000237737184307134
"at the same";43;0.000237737184307134
"but it is";43;0.000237737184307134
"did not know";43;0.000237737184307134
"the middle of";43;0.000237737184307134
"the same time";43;0.000237737184307134
"will have to";43;0.000237737184307134
"you will be";43;0.000237737184307134
"as long as";42;0.000232208412579061
"did not have";42;0.000232208412579061
"he said the";42;0.000232208412579061
"in new york";42;0.000232208412579061
"in the second";42;0.000232208412579061
"that it was";42;0.000232208412579061
"to be in";42;0.000232208412579061
"to do it";42;0.000232208412579061
